,City,Country,Lat,Lng,Humidity,Hotel Name
100,anadyr,RU,64.75,177.4833,93,Гостевой дом
101,bayramaly,TM,37.6185,62.1671,27,No hotel found
102,sumberpucung,ID,-8.1586,112.4829,89,DW Hotel
103,petropavlovsk-kamchatsky,RU,53.0452,158.6483,88,ООО Постоялый двор
104,szczecin,PL,53.4289,14.553,86,Radisson Blu
105,kahuta,PK,33.5913,73.3868,16,No hotel found
106,hasaki,JP,35.7333,140.8333,41,大新旅館
107,walvis bay,,-22.9575,14.5053,63,Atlantic
108,labytnangi,RU,66.6572,66.4183,67,Семь лиственниц
109,saint-denis,FR,48.9167,2.3333,60,Tribe
110,puerto baquerizo moreno,EC,-0.9,-89.6,79,Dory's House
111,el porvenir,HN,13.7617,-87.3458,95,No hotel found
112,remire-montjoly,GF,4.9167,-52.2667,94,Complexe Belova
113,sitka,US,57.0531,-135.33,94,Aspen Suites Hotel
114,nova sintra,CV,14.8667,-24.7167,76,Residência Ka Dencho
115,pacific grove,US,36.6177,-121.9166,57,Pacific Grove Inn
116,lerwick,GB,60.1545,-1.1494,93,Grand Hotel
117,saint-philippe,RE,-21.3585,55.7679,73,Le Baril
118,oyotun,PE,-6.8519,-79.3036,90,No hotel found
119,murzuq,LY,25.9155,13.9184,20,فندق باريس - مرزق
120,vorzel',UA,50.5444,30.153,34,Ірис
121,hawaiian paradise park,US,19.5933,-154.9731,94,No hotel found
122,bom jesus,BR,-9.0744,-44.3586,25,Hotel Brasão
123,el granada,US,37.5027,-122.4694,59,Beach House
124,akhalk'alak'i,GE,41.4051,43.4863,39,Hotel Gold
125,lubao,PH,14.9167,120.55,87,Hacienda de Gracia Resort
126,seydi,TM,39.4816,62.9137,52,No hotel found
127,warrensburg,US,38.7628,-93.7361,81,Days Inn by Wyndham Warrensburg
128,songea,TZ,-10.6833,35.65,44,No hotel found
129,abalak,RU,58.1286,68.5944,70,No hotel found
130,akjoujt,MR,19.6969,-14.4164,19,فندق فاطمة
131,lazaro cardenas,MX,17.9583,-102.2,89,Hotel Sol del Pacífico
132,zhaotong,CN,27.3167,103.7167,92,Autumn Hotel
133,dhidhdhoo,MV,6.8833,73.1,77,Cinnamon Island
134,alaghsas,NE,17.0187,8.0168,19,Hôtel Zagado
135,ambon,ID,-3.6954,128.1814,95,Hotel Hero
136,alofi,NU,-19.0595,-169.9187,77,Matavai Resort
137,mahdalynivka,UA,48.921,34.9156,32,No hotel found
138,alice springs,AU,-23.7,133.8833,19,Aurora Alice Springs
139,tazovsky,RU,67.4667,78.7,72,Тазовчанка
140,chibougamau,CA,49.9168,-74.3659,94,No hotel found
141,kone,NC,-21.0595,164.8658,80,Pacifik Appartels
142,cabo san lucas,MX,22.8909,-109.9124,76,Comfort Rooms
143,lichinga,MZ,-13.3128,35.2406,53,Residencial 2+1
144,balpyk bi,KZ,44.8947,78.2083,29,No hotel found
145,khorramabad,IR,33.4878,48.3558,13,هتل رنگین کمان
146,heroica caborca,MX,30.7167,-112.15,31,Hotel Posada del Desierto
147,hammerfest,NO,70.6634,23.6821,87,Thon Hotel Hammerfest
148,emerald,AU,-23.5333,148.1667,29,Emerald Central Hotel
149,nouadhibou,MR,20.931,-17.0347,69,Hotel valencia
150,kourou,GF,5.1552,-52.6478,81,SCI Horizon
151,puerto ayora,EC,-0.7393,-90.3518,93,Hostal La Mirada De Solitario George
152,margate,GB,51.3813,1.3862,70,The Reading Rooms
153,guerrero negro,MX,27.9769,-114.0611,88,Plaza sal paraiso
154,qui nhon,VN,13.7667,109.2333,83,TMS Quy Nhơn - Home ở đây!
155,ujae,MH,8.9322,165.7642,77,No hotel found
156,kingston,JM,17.997,-76.7936,88,Aphrodite Hotel
157,klucze,PL,50.3357,19.5624,73,Lawendowy Dworek
158,beau vallon,MU,-20.4189,57.6953,53,Le Jardin de Beau Vallon
159,minas de marcona,PE,-15.2119,-75.1103,89,No hotel found
160,brisas de zicatela,MX,15.8369,-97.0419,87,Casa de Olas
161,whitefish,US,48.4111,-114.3376,87,The Firebrand Hotel
162,stanley,GB,54.868,-1.6985,86,Hotel 52
163,kaedi,MR,16.1465,-13.5047,41,فندق يوتي
164,wanning,CN,18.8003,110.3967,82,No hotel found
165,tralee,IE,52.2704,-9.7026,94,The Ashe Hotel
166,zaysan,KZ,47.4667,84.8667,43,Рахат қонақүй
167,fort bragg,US,35.139,-79.006,92,Airborne Inn Lodging
168,chonchi,CL,-42.6128,-73.8092,95,Hotel Huildín
169,scottburgh,ZA,-30.2867,30.7532,71,Blue Marlin Hotel
170,katsuura,JP,35.1333,140.3,47,潮騒の宿
171,callao,PE,-12.0667,-77.15,82,Casa Ronald
172,okahandja,,-21.9833,16.9167,7,Okahandja Country Hotel
173,dezhou,CN,37.4486,116.2925,44,No hotel found
174,badger,US,64.8,-147.5333,95,Hotel North Pole
175,bubaque,GW,11.2833,-15.8333,76,Chez Julio
176,neka,IR,36.6508,53.299,53,هتل میلاد نکا
177,lebu,CL,-37.6167,-73.65,85,No hotel found
178,teotitlan,MX,18.1319,-97.0767,94,No hotel found
179,avarua,CK,-21.2078,-159.775,94,Paradise Inn
180,praia da vitoria,PT,38.7333,-27.0667,88,Salles
181,gereida,SD,11.2811,25.1414,33,No hotel found
182,barakani,KM,-12.1356,44.4317,75,Al Amal
183,kashgar,CN,39.4547,75.9797,19,深航国际酒店
184,nar'yan-mar,RU,67.6713,53.087,78,"Гостиница ""Агат"""
185,isafjordur,IS,66.0755,-23.124,65,Hótel Horn
186,weno,FM,7.4515,151.8468,77,High Tide Hotel
187,vilyuysk,RU,63.7553,121.6247,65,Мария
188,calama,CL,-22.4667,-68.9333,33,Apart Hotel Geotel Calama
189,kolonia town,FM,6.964,158.206,76,Cliff Rainbow Hotel
190,ouddorp,NL,51.8117,3.9347,81,Akershoek
191,new norfolk,AU,-42.7826,147.0587,93,Woodbridge on the Derwent
192,bodaybo,RU,57.8506,114.1933,97,НОЙ
193,tamiahua,MX,21.2667,-97.45,93,No hotel found
194,colonia,DE,50.9333,6.95,66,Wasserturm Hotel Cologne
195,obo,CF,5.3998,26.4869,45,No hotel found
196,mar del plata,AR,-38.0023,-57.5575,81,Nuevo Ostende
197,arraial do cabo,BR,-22.9661,-42.0278,94,No hotel found
198,mont-dore,NC,-22.2833,166.5833,76,Les Cases de Plum
199,tayga,RU,56.06,85.6197,67,No hotel found
200,susuman,RU,62.7833,148.1667,82,No hotel found
201,beberibe,BR,-4.1797,-38.1306,67,Pousada Ibitu
202,mili,MH,6.0815,171.735,74,No hotel found
203,galesong,ID,-5.3166,119.3661,64,No hotel found
204,uaua,BR,-9.8414,-39.4817,59,Hotel Uauá
205,crucecita,AR,-28.95,-58.9833,65,No hotel found
206,rongelap,MH,11.1635,166.8941,74,No hotel found
207,cooma,AU,-36.2333,149.1333,89,Royal Hotel
208,howrah,IN,22.5892,88.3103,74,Sun India Guest House
209,sisimiut,GL,66.9395,-53.6735,73,Sømandshjemmet
210,smithers,CA,54.7804,-127.1743,100,Sunshine Inn Hotel
211,vadso,NO,70.0744,29.7487,81,Scandic Vadsø
212,hancheng,CN,32.5186,112.3522,90,No hotel found
213,san lawrenz,MT,36.0553,14.204,74,Ta Majsi
214,bull savanna,JM,17.8868,-77.5902,85,Junction Guest House
215,usinsk,RU,65.9939,57.5281,80,общежитие Лукойл-Коми
216,broome,US,42.2506,-75.833,93,No hotel found
217,papao,PF,-17.75,-149.55,79,Hiti Moana Villa Lodge
218,kodiak,US,57.79,-152.4072,91,Shelikof Lodge
219,bijie,CN,27.3125,105.2942,93,福朋喜来登酒店
220,soto la marina,MX,23.7667,-98.2167,89,Arellano
