City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,piton saint-leu,-21.2196,55.3151,24.04,57,100,10.29,RE,1696589768
83,enewetak,11.3474,162.3373,28.98,75,100,6.2,MH,1696589768
84,sodo,6.8642,37.7628,22.4,50,43,1.07,ET,1696589488
85,valparaiso,-33.0393,-71.6273,10.8,76,75,1.03,CL,1696589768
86,pisco,-13.7,-76.2167,17.23,88,61,0.0,PE,1696589769
87,college,64.8569,-147.8028,0.04,96,100,2.06,US,1696589769
88,morwa,22.9,73.8333,31.09,50,83,3.16,IN,1696589769
89,barreirinhas,-2.7469,-42.8264,28.92,60,100,6.39,BR,1696589769
90,taoudenni,22.6783,-3.9836,39.44,9,49,4.81,ML,1696589770
91,kavaratti,10.5669,72.642,27.71,65,50,2.98,IN,1696589770
92,cockburn town,21.4612,-71.1419,28.22,75,3,1.48,TC,1696589770
93,thompson,55.7435,-97.8558,5.09,100,100,2.06,CA,1696589770
94,port alfred,-33.5906,26.891,17.88,99,100,2.24,ZA,1696589771
95,iqaluit,63.7506,-68.5145,2.85,81,75,7.2,CA,1696589771
96,zonguldak,41.25,31.8333,21.5,34,26,3.39,TR,1696589771
97,olonkinbyen,70.9221,-8.7187,1.14,66,21,7.21,SJ,1696589771
98,cocieri,47.3075,29.1103,22.59,27,8,8.3,MD,1696589772
99,mangrol,21.1167,70.1167,28.48,67,12,4.16,IN,1696589772
100,anadyr,64.75,177.4833,-3.72,93,0,3.0,RU,1696589598
101,bayramaly,37.6185,62.1671,21.86,27,3,7.13,TM,1696589772
102,sumberpucung,-8.1586,112.4829,23.41,89,13,1.83,ID,1696589772
103,petropavlovsk-kamchatsky,53.0452,158.6483,7.49,88,40,4.02,RU,1696589773
104,szczecin,53.4289,14.553,16.08,86,98,5.81,PL,1696589635
105,kahuta,33.5913,73.3868,32.69,16,0,2.84,PK,1696589773
106,hasaki,35.7333,140.8333,21.27,41,0,6.48,JP,1696589665
107,walvis bay,-22.9575,14.5053,19.53,63,0,2.06,NA,1696589773
108,labytnangi,66.6572,66.4183,5.59,67,41,6.81,RU,1696589774
109,saint-denis,48.9167,2.3333,19.47,60,0,2.57,FR,1696589774
110,puerto baquerizo moreno,-0.9,-89.6,22.36,79,5,6.11,EC,1696589775
111,el porvenir,13.7617,-87.3458,22.63,95,7,1.38,HN,1696589775
112,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.0,GF,1696589775
113,sitka,57.0531,-135.33,12.94,94,100,2.57,US,1696589775
